address,name,xref_count,isThunk
00401060,NoOpEventHandler,56,False
00401670,TransformVector3ByMatrix3,55,False
00401ae0,ComputeNormalizedRangeProgress,68,False
00401b80,ScaleVector3,9,False
00401ce0,SubtractVector3,9,False
00401d10,ComputeAbsFloat,26,False
00401d70,ClampFloatBounds,22,False
00401da0,GetMinOfTwoFloats,11,False
00401dc0,GetMaxOfTwoFloats,14,False
00401f40,RemoveSelfFromTypeRegistry,22,False
00402060,ClampFloatToRange,34,False
004023c0,ConstructBChunkHashKey,30,False
00402820,IAttachable_GetIHandle,22,False
00402900,ProcessAIBehaviorListener,17,False
004029a0,InitializeIntrusiveList,126,False
00402c20,ReleaseRefCountedHandle,1,True
00402e80,ReleaseRefCountedHandle,5,True
00403430,ReleaseRefCountedHandle,1,True
00403550,ReleaseRefCountedHandle,1,True
00403700,IVehicleAI_GetIHandle,46,False
00403770,IHumanAI_GetIHandle,18,False
004037e0,IPerpetrator_GetIHandle,44,False
00403850,IRacer_GetIHandle,6,False
004038c0,IPursuit_GetIHandle,9,False
004038e0,IPursuitAI_GetIHandle,50,False
00403950,ITrafficAI_GetIHandle,6,False
004039c0,ICollisionBody_GetIHandle,50,False
004039e0,IRBVehicle_GetIHandle,16,False
00403a80,ReleaseRefCountedHandle,4,True
00403c90,ReleaseRefCountedHandle,62,True
00404010,ITransmission_GetIHandle,33,False
00404020,IEngine_GetIHandle,27,False
00404040,ISuspension_GetIHandle,44,False
00404050,ISimpleChopper_GetIHandle,4,False
00404060,IAIHelicopter_GetIHandle,11,False
004040e0,IVehicle_GetIHandle,101,False
004040f0,VehicleParams_AddTypeName,15,False
00404db0,ApplyForEachWithCount,29,False
00405000,IDamageable_GetIHandle,26,False
00405020,ICause_GetIHandle,2,False
004051f0,FreeBlockIfNonNullToGameStatePool,14,False
00405240,ICheater_GetIHandle,8,False
004058e0,GetPlayerRepMessageHash,3,False
00405ed0,ReserveStreamingMemBudget,14,False
00405f30,ReturnGameStateBlockToPool,9,False
00406610,LookupVehicleAttributeHandlerThis,17,False
00406650,GetVehicleAttributeBlobPtr,17,False
00407500,ReleaseRefCountedHandle,5,True
00407580,ReleaseRefCountedHandle,9,True
00407610,ReleaseRefCountedHandle,2,True
004076a0,ReleaseRefCountedHandle,3,True
00407d20,ReleaseRefCountedHandle,13,True
00407dc0,ReleaseRefCountedHandle,2,True
00408730,TickRacerStuckTimer,2,False
004097c0,IsAIRacerInActiveRaceState,1,False
00409e60,AITarget_Clear,9,False
0040fe20,NormalizeVector3SafeIfNonZero,77,False
004100a0,ComputeVector3DistanceVoid,22,False
00410180,ComputeVector3Magnitude,28,False
00410220,NormalizeVector3InPlace,51,False
00410500,InitializeAIPathHandlerVtableAlt,11,False
00414cc0,InitializeAIPathHandlerVtable,23,False
00414ce0,BindAIVehicleInterfaceHandlers,9,False
00416900,TeardownAIRacerGoalAndPathFollower,2,False
00418000,AITarget_Construct,3,False
004180f0,AITarget_TrackInternal,4,False
0041ace0,DisengageGPS,6,False
0041b250,ReserveDynamicArrayCapacity,27,False
0041cb50,LookupAIBehaviorListByName,11,False
0041fe30,CreateAIActionBase,1,False
00421cf0,RegisterAIActionInRegistry,1,False
00422480,AIVehicle_SetGoal,14,False
00423010,SetAIRacerGoal,2,False
00423190,SetAITrafficGoal,0,False
00423510,SetAIHeliExitGoal,1,False
00423750,AITarget_Register,1,False
00423860,AITarget_Acquire,8,False
004250ca,Catch@004250ca,1,False
00425178,Catch@00425178,1,False
00425200,GetAIBehaviorPoolEntryById,9,False
004292a0,UpdateRacerSteeringErrorPID,6,False
004293d0,EvaluateRacerCatchupAndNearbyObjects,3,False
0042aa80,TickAIGoalRacerPerFrame,2,False
0042ab80,SetAICopPursuitGoal,3,False
0042b040,AIAction_BroadcastToChildren,15,False
0042b070,ProcessAIDecisionEvaluation,28,False
0042c830,EngageGPS,2,False
0042c850,ResetSmallString,163,False
0042cbf0,DestroyAIRacerVehicleEntry,28,False
0042e340,ConstructAIDriverProfile,9,False
0042f140,TickAIVehiclePlayerCarRacerFrame,1,False
00430080,AssignAndCopyBytesToString,3,False
004303b0,AssignBytesToString,162,False
00431ae0,DestroyAIVehicleManager,9,False
00431c70,EAGLPhysics_GetTrackSpeed_vt0x34,10,False
00432d50,CreateAttributeKeyFromName,162,False
00433570,DestructAIGoalRacerSubcomponent,4,False
0043459a,Catch@0043459a,1,False
004345aa,Catch@004345aa,1,False
0043482a,Catch@0043482a,1,False
0043483a,Catch@0043483a,1,False
00434dcc,Catch@00434dcc,1,False
00434ddc,Catch@00434ddc,1,False
004352c0,DeleteAIGoalRacerInstance,8,False
004352f0,DestroyAITrafficVehicleEntry,30,False
004353d0,AIAction_BaseDeletingDtor_Size18,1,False
00435fd1,Catch@00435fd1,1,False
00435fe1,Catch@00435fe1,1,False
004363a2,Catch@004363a2,1,False
004363b2,Catch@004363b2,1,False
00436681,Catch@00436681,1,False
00436691,Catch@00436691,1,False
0043690a,Catch@0043690a,1,False
0043691a,Catch@0043691a,1,False
00436b9a,Catch@00436b9a,1,False
00436baa,Catch@00436baa,1,False
00436e2a,Catch@00436e2a,1,False
00436e3a,Catch@00436e3a,1,False
00437102,Catch@00437102,1,False
00437112,Catch@00437112,1,False
0043743f,Catch@0043743f,1,False
0043744f,Catch@0043744f,1,False
004376fa,Catch@004376fa,1,False
0043770a,Catch@0043770a,1,False
0043798a,Catch@0043798a,1,False
0043799a,Catch@0043799a,1,False
00437c62,Catch@00437c62,1,False
00437c72,Catch@00437c72,1,False
004380c0,DestroyAIVehicleAndMaybeFree,9,False
004380f0,AIAction_DeletingDtor_Size1c,1,False
00438120,AIAction_DeletingDtor_Size18_Variant,1,False
004383d0,Catch@004383d0,1,False
00438510,Catch@00438510,1,False
00438730,Catch@00438730,1,False
004388ee,Catch@004388ee,1,False
00438a00,Catch@00438a00,1,False
00438b00,Catch@00438b00,1,False
00438c38,Catch@00438c38,1,False
00438d79,Catch@00438d79,1,False
00438e80,Catch@00438e80,1,False
00438f80,Catch@00438f80,1,False
004390b8,Catch@004390b8,1,False
004393f0,PushAIBehaviorIntoQueue,22,False
00439a10,DispatchAIActionByHash,0,False
0043a9a0,CreateAIVehicleInstance,4,False
0043b0d0,CreateAIGoalNone,1,False
0043b530,LookupAIBehaviorParam,48,False
0043b800,CreateAIActionRace,1,False
0043b9b0,CreateAIActionRam,2,False
0043ba70,AIActionRam_DeletingDtor_A,1,False
0043baa0,AIActionRam_Destructor_A,1,False
0043bab0,UpdateAIActionRam,1,False
0043bb70,AIActionRam_DeletingDtor_B,1,False
0043bba0,AIActionRam_Destructor_B,1,False
0043bc10,DispatchAIActionRam,0,False
0043bcd0,AIActionRam_DeletingDtor_C,1,False
0043bd00,AIActionRam_Destructor_C,1,False
0043be50,CreateAIActionStaticRoadBlock,1,False
0043c220,DestroyAITrafficVehicleEntry,1,True
0043c230,AIAction_DeletingDtor_Size20,1,False
0043cea0,DestroyAIVehicleManager,1,True
0043d330,CreateAIGoalRacerInstance,2,False
0043ef70,CreateAIVehicleRacerInstance,1,False
0043f1a0,CreateAIGoalRam,1,False
0043fe90,CreateAIGoalPit,1,False
00443270,AIPursuit_Construct,1,False
00444fe0,CopyMatrix4x4Floats,118,False
00449320,InitializeAITaskDispatcher,14,False
0044a230,BroadcastEventToAIChildren,24,False
0044b430,IterateAIBehaviorListEntries,24,False
00451660,Class_GetNumDefinitions,1,False
00451670,Class_GetFirstDefinition,1,False
004517c0,CalculateBytesHash24,11,False
004519d0,CalculateStringHash24,166,False
00451a30,CalculateBChunkHashInner64,2,False
004522f0,CalculateBChunkHash64,141,False
00452380,InitializeAttributeIterator,113,False
00452430,GetAttributeFromIteratorEntry,123,False
00452880,UpdateAllocatedSizeStat,63,False
004528d0,GetAttributeIteratorChildPtr,9,False
00452940,GetAttributeIteratorCount,156,False
00452bd0,ReleaseAttributeIteratorRef,208,False
00452d40,GetAttributeIteratorChildCount,64,False
004532c0,GetAttributeArrayElementByIndex,11,False
00453fc0,Class_GetNumCollections,3,False
00454190,Collection_GetData,1,False
00454640,StringToKey,96,False
004546a0,GetAttributeFromIteratorEntryAlt,23,False
004546c0,LookupAttributeIteratorByHash,86,False
00454810,LookupAttributeByHash,806,False
00454c30,GetAttributeArrayElement,54,False
00454cc0,LookupAttributeBucketSlot,11,False
00455960,Class_GetCollection,6,False
00455bc0,Database_GetClass,19,False
00455fd0,FindCollection,104,False
00456b00,Class_GetFirstCollection,11,False
00456b20,Class_GetNextCollection,11,False
